ID,Common_name,Latitude,Longitude
2213,Northern elephant seal,30,-170
2214,Hawaiian monk seal,30,-170
2215,Hawaiian monk seal,20.75028,-156.50028
2216,Hawaiian monk seal,28.41667,-178.33333
2217,Pacific walrus,53.58111,-172.61
2218,Pacific walrus,64.41833,-169.48222
2219,Pacific walrus,60,-175
2220,Killer whale / Orca,30,-170
2221,Harbour seal,37.25028,-119.75028
2222,Harbour seal,37.25028,-119.75028
2223,Harbour seal,44.00028,-120.50028
2224,Harbour seal,46.25806,-124.08806
2225,Harbour seal,57.04583,-170.4
2226,Harbour seal,56.50667,-157.62833
2227,Harbour seal,46.70694,-124.10472
2228,New Zealand sea lion,-42,174
2229,Vaquita,28,-112
2230,Pantropical spotted dolphin,12.16333,-87.88222
2231,Eastern spinner dolphin,-2.68,-87.6
2232,Polar bear,51.65,179.43
2233,Polar bear,64.00028,-150.00028
2234,Californian sea lion,37.25028,-119.75028
2250,Dugong,24,54
2251,Indo-Pacific humpbacked dolphin,24,54
2252,Indo-Pacific bottlenose dolphin,24,54
2319,Antarctic fur seal,-54.00444,-38.05972
2320,Antarctic fur seal,-54.01778,-37.97611
2321,Antarctic fur seal,-60.71667,-45.6
2323,Southern elephant seal,-54.25,-36.75
2324,Southern sea lion / South American sea lion,-51.75,-59.16667
2356,Arctic fox,62,10
2357,Arctic fox,78,20
2358,Grey wolf / Gray wolf,62,10
2359,Arctic hare / Mountain hare,58.95,8.76667
2360,Eurasian lynx,62,10
2361,Reindeer / Caribou,78.91667,11.73333
2362,Reindeer / Caribou,77.95,15.83333
2363,Reindeer / Caribou,78.18333,16.33333
2364,Grizzly bear / Brown bear,62,10
2365,Minke whale,74,36
2366,Grey seal,64.33028,5.99917
2367,Harp seal,62,10
2392,White-bearded wildebeest / Blue wildebeest,-3.16667,35.58333
2393,White-bearded wildebeest / Blue wildebeest,-3.16667,35.58333
2394,African buffalo / Cape buffalo,-3.16667,35.58333
2395,African buffalo / Cape buffalo,-3.16667,35.58333
3405,Moose,48.00889,-88.8675
3406,Pronghorn,23,-102
3407,Pronghorn,27.43583,-113.60611
3408,Pronghorn,60,-98
3409,Pronghorn,44.57472,-110.51667
3410,American bison / Wood bison / Plains bison,44.66667,-110.46667
3411,American bison / Wood bison / Plains bison,61.36667,-117.65
3412,Coyote,48.10611,-95.22806
3413,Coyote,47.955,-94.78639
3414,Coyote,47.31667,-92.5475
3415,Coyote,45.33611,-94.40472
3416,Coyote,47.73167,-93.62833
3417,Coyote,47.71667,-96.55
3418,Coyote,43.77278,-91.80944
3419,Coyote,44.44694,-96.29611
3420,Coyote,46.11639,-93.14583
3421,Coyote,46.00028,-99.00028
3422,Grey wolf / Gray wolf,39.83333,-98.58333
3423,Red deer / Elk,41.41667,-78.56667
3424,Red deer / Elk,43.64667,-84.815
3425,Red deer / Elk,46.85278,-121.76028
3426,Southern red-backed vole,45.5675,-73.19306
3427,Mountain lion / Puma / Cougar,35,-117.83333
3428,Northern flying squirrel,45.595278,-78.523333
3429,Snowshoe hare,48.00889,-88.8675
3430,Snowshoe hare,63.32972,-150.5
3431,Vancouver island marmot,49.66667,-125.83333
3432,Vancouver island marmot,49.66667,-125.83333
3433,American marten,45.56667,-78.6
3434,American marten,45.0333,-79.3
3435,Skunk / Striped skunk,48.10611,-95.22806
3436,Skunk / Striped skunk,47.955,-94.78639
3437,Skunk / Striped skunk,47.31667,-92.5475
3438,Skunk / Striped skunk,45.33611,-94.40472
3439,Skunk / Striped skunk,47.73167,-93.62833
3440,Skunk / Striped skunk,47.71667,-96.55
3441,Skunk / Striped skunk,43.77278,-91.80944
3442,Skunk / Striped skunk,44.44694,-96.29611
3443,Skunk / Striped skunk,46.11639,-93.14583
3444,Montane vole,43.81389,-110.71
3445,Woodland jumping mouse,45.5675,-73.19306
3446,White-tailed deer,43,-73.83333
3447,White-tailed deer,48.23961,-113.80022
3448,White-tailed deer,47.29417,-104.52167
3449,White-tailed deer,47.28333,-109.51667
3450,White-tailed deer,47.76889,-113.89194
3451,Bighorn sheep,36.57833,-118.2925
3452,Bighorn sheep,35,-117.83333
3453,Bighorn sheep,35,-117.83333
3454,Bighorn sheep,39.81056,-98.55611
3455,North American deermouse / deer mouse,45.595278,-78.523333
3456,Raccoon,48.10611,-95.22806
3457,Raccoon,47.955,-94.78639
3458,Raccoon,47.31667,-92.5475
3459,Raccoon,45.33611,-94.40472
3460,Raccoon,47.73167,-93.62833
3461,Raccoon,47.71667,-96.55
3462,Raccoon,43.77278,-91.80944
3463,Raccoon,44.44694,-95.29611
3464,Raccoon,46.11639,-93.14583
3468,Reindeer / Caribou,63.32972,-150.5
3469,Columbian ground squirrel,50.61667,-114.65
3470,Franklin's ground squirrel,47.18028,-95.22333
3471,Thirteen-line ground squirrel,47.16667,-95.25
3472,Eastern chipmunk / Least chipmunk,47.18028,-95.22333
3473,Eastern chipmunk,45.5675,-73.19306
3474,Eastern chipmunk,47.18028,-95.22333
3475,American red squirrel,47.18028,-95.22333
3476,American red squirrel,45.595278,-78.523333
3477,American red squirrel,32.69603,-109.86646
3478,Grizzly bear / Brown bear,57.46667,-153.26667
